#Name,Brand,color,Link,wish,review
Adidas Velosamba Core Black,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/73766 ,3631,23
Nike Air Force 1 '07 LV8 White Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/76017 ,7766,30
Adidas Samba OG Collegiate Green,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/75971 ,6118,20
Autry Medalist Low Goatskin Sneakers White,Autry,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48783 ,1595,65
Adidas Yeezy Slide Bone 2022,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/70714 ,7245,234
(W) Jordan 1 Mid Grey Fog,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/41534 ,48000,1025
Nike x Peaceminusone Air Force 1 Low Para-Noise,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/22857 ,12000,5007
Adidas Yeezy Boost 350 V2 Dazzling Blue,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/52008 ,5862,223
(W) Nike Dunk Low Vintage Midnight Navy,Nike,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/47184 ,29000,346
Jordan 1 x Travis Scott Retro High OG SP Mocha,Jordan,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/20501 ,12000,4355
Nike x Martine Rose Shox MR4 Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/69092 ,3352,89
Nike Air Force 1 '07 Cut Out Swoosh Midnight Navy,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/57895 ,28000,65
Maison Mihara Yasuhiro Blakey OG Sole Canvas Low-top Sneakers Black White,Mihara Yasuhiro,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/46178 ,4871,223
Salomon XT-6 Gore-Tex Black Ebony,Salomon,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/82104 ,217,1
Nike Air Max 97 Triple White Wolf Grey,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/10917 ,15000,245
Jordan 1 Mid Bred Banned 2020,Jordan,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/26269 ,7804,1213
Nike x Neckface SB Dunk Low Pro Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/82255 ,911,9
Adidas Samba OG Black White Gum,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/15248 ,7621,26
(GS) Jordan 1 Mid Bred Banned 2020,Jordan,"{'name': 'Merlot', 'RGB': (131, 25, 35)}",https://kream.co.kr/products/26133 ,1124,47
New Balance 1906R White Gold,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/73059 ,4013,76
Nike x Off-White Dunk Low The 50 - Lot 18,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/39142 ,12000,1387
Jordan 1 Retro High OG CO.JP Midnight Navy,Jordan,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/26108 ,23000,2465
(W) Nike Dunk Low Light Bone,Nike,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/40108 ,26000,459
Adidas Yeezy Boost 350 V2 Bone,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/54743 ,9929,195
Nike x Comme des Garcons Homme Plus Air Max Sunder SP White Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/60362 ,2328,35
Asics x Andersson Bell Gel-Sonoma 15-50 Black Green,Asics,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/82462 ,880,21
New Balance 1906R Silver Green,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/81271 ,1517,4
(W) Nike Dunk High Black and White,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/33866 ,11000,381
Jordan 1 Retro Low OG EX Black and Smoke Grey,Jordan,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/74364 ,5062,108
Nike Air Force 1 '07 White Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/49931 ,12000,100
(W) Jordan 1 Mid Wolf Grey,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/37241 ,62000,926
Adidas Yeezy Foam RNNR Sand,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/31939 ,9243,1977
Salomon XT-6 Expanse Vanilla Ice White,Salomon,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/73876 ,4288,12
Asics Gel-1130 Oyster Grey Clay Grey,Asics,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/74800 ,4605,38
Adidas Superstar 82 FI Core Black,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/80819 ,2147,19
Nike Air Force 1 '07 PRM Bronx Origins,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/73786 ,3623,58
Nike Dunk Low Retro SE Barber Shop Grey,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/57619 ,1971,168
Nike x Jacquemus Air Humara LX Ale Brown and Gold,Nike,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/67714 ,2711,55
Jordan 1 Mid SE Diamond,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/50675 ,15000,242
Nike Dunk Low SE Seoul,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/38844 ,16000,1160
