Name,Brand,Colors,Link,wish,review
Nike Air Max 97 Triple White Wolf Grey,Nike,"[(211, 210, 209, 86)]",https://kream.co.kr/products/10917 ,15000,245
Jordan 1 Mid Bred Banned 2020,Jordan,"[(38, 31, 33, 34), (161, 13, 42, 29), (214, 210, 216, 20)]",https://kream.co.kr/products/26269 ,7804,1213
Nike x Neckface SB Dunk Low Pro Black,Nike,"[(26, 26, 25, 61), (209, 204, 195, 24)]",https://kream.co.kr/products/82255 ,911,9
Adidas Samba OG Black White Gum,Adidas,"[(42, 41, 44, 56), (94, 88, 85, 23), (224, 227, 231, 12)]",https://kream.co.kr/products/15248 ,7621,26
(GS) Jordan 1 Mid Bred Banned 2020,Jordan,"[(147, 24, 46, 32), (42, 36, 37, 29), (229, 226, 227, 21), (77, 59, 62, 9)]",https://kream.co.kr/products/26133 ,1124,47
New Balance 1906R White Gold,New Balance,"[(213, 210, 209, 50), (39, 37, 35, 27)]",https://kream.co.kr/products/73059 ,4013,76
Nike x Off-White Dunk Low The 50 - Lot 18,Nike,"[(214, 214, 207, 82)]",https://kream.co.kr/products/39142 ,12000,1387
Jordan 1 Retro High OG CO.JP Midnight Navy,Jordan,"[(59, 61, 81, 47), (228, 227, 229, 41)]",https://kream.co.kr/products/26108 ,23000,2465
(W) Nike Dunk Low Light Bone,Nike,"[(189, 184, 170, 83), (219, 218, 209, 11)]",https://kream.co.kr/products/40108 ,26000,459
Adidas Yeezy Boost 350 V2 Bone,Adidas,"[(218, 215, 203, 81), (236, 229, 217, 8)]",https://kream.co.kr/products/54743 ,9929,195
Nike x Comme des Garcons Homme Plus Air Max Sunder SP White Black,Nike,"[(211, 210, 215, 50), (23, 23, 25, 45)]",https://kream.co.kr/products/60362 ,2328,35
Asics x Andersson Bell Gel-Sonoma 15-50 Black Green,Asics,"[(46, 44, 45, 69), (88, 81, 82, 9)]",https://kream.co.kr/products/82462 ,880,21
New Balance 1906R Silver Green,New Balance,"[(202, 193, 174, 63), (55, 63, 50, 8), (147, 133, 104, 8)]",https://kream.co.kr/products/81271 ,1517,4
(W) Nike Dunk High Black and White,Nike,"[(37, 39, 41, 48), (218, 220, 221, 42)]",https://kream.co.kr/products/33866 ,11000,381
Jordan 1 Retro Low OG EX Black and Smoke Grey,Jordan,"[(43, 42, 42, 49), (212, 209, 199, 25), (126, 123, 122, 10), (105, 106, 108, 8)]",https://kream.co.kr/products/74364 ,5062,108
Nike Air Force 1 '07 White Black,Nike,"[(212, 211, 214, 69), (37, 37, 37, 25)]",https://kream.co.kr/products/49931 ,12000,100
(W) Jordan 1 Mid Wolf Grey,Jordan,"[(217, 218, 218, 56), (155, 163, 172, 13), (175, 177, 179, 10)]",https://kream.co.kr/products/37241 ,62000,926
Adidas Yeezy Foam RNNR Sand,Adidas,"[(209, 203, 178, 84)]",https://kream.co.kr/products/31939 ,9243,1977
Salomon XT-6 Expanse Vanilla Ice White,Salomon,"[(181, 181, 180, 69), (121, 121, 121, 11), (225, 224, 220, 10)]",https://kream.co.kr/products/73876 ,4288,12
Asics Gel-1130 Oyster Grey Clay Grey,Asics,"[(190, 184, 176, 53), (55, 53, 54, 22), (106, 104, 107, 13)]",https://kream.co.kr/products/74800 ,4605,38
Adidas Superstar 82 FI Core Black,Adidas,"[(211, 210, 203, 47), (40, 40, 43, 33), (77, 77, 79, 13)]",https://kream.co.kr/products/80819 ,2147,19
Nike Air Force 1 '07 PRM Bronx Origins,Nike,"[(196, 196, 199, 73), (229, 229, 233, 9)]",https://kream.co.kr/products/73786 ,3623,58
Nike Dunk Low Retro SE Barber Shop Grey,Nike,"[(209, 207, 209, 73)]",https://kream.co.kr/products/57619 ,1971,168
Nike x Jacquemus Air Humara LX Ale Brown and Gold,Nike,"[(86, 60, 52, 62), (198, 171, 150, 12), (155, 128, 111, 10)]",https://kream.co.kr/products/67714 ,2711,55
Jordan 1 Mid SE Diamond,Jordan,"[(217, 218, 217, 56), (31, 31, 32, 35)]",https://kream.co.kr/products/50675 ,15000,242
Nike Dunk Low SE Seoul,Nike,"[(208, 212, 222, 43), (38, 48, 69, 41), (169, 60, 59, 9)]",https://kream.co.kr/products/38844 ,16000,1160
Nike x Travis Scott Air Max 1 Cact.us Brown,Nike,"[(215, 202, 158, 34), (58, 45, 37, 26), (91, 58, 46, 12), (130, 92, 45, 8)]",https://kream.co.kr/products/44512 ,9365,677
Nike x Sacai VaporWaffle White and Gum,Nike,"[(212, 207, 196, 73), (232, 231, 231, 10)]",https://kream.co.kr/products/40775 ,10000,374
